Animal Name;Animal Type;Skin;Age;
*JASMINE;DOG;BROWN;15;
COCO;DOG;BLACK;4;
*PETER;CAT;BLACK;6;
SMOKEY;CAT;BRN TABBY;7;
*CHOPPER;CAT;BRN TABBY;0;
*DARCY;DOG;WHITE;4;
LOUIE;DOG;BROWN;13;
JACK JACK;DOG;TAN;8;
NELSON;CAT;WHITE;16;
EMMA;DOG;TAN;12;
SAMSON;DOG;TAN;7;
SOAPIE;DOG;TAN;4;
*MACARONI;DOG;BROWN;4;
HARLEY;DOG;WHITE;9;
*BOOP;CAT;GRAY;6;
*POOKIE;CAT;BLACK;6;
*GAZPACHO;DOG;RED;2;
*MUSHU;CAT;BLUE PT;0;
GRACE;DOG;BLACK;4;
*MARILYN MONROE;DOG;BLONDE;0;
SHADOW;DOG;BLACK;1;
*CHARLIE;DOG;TAN;8;
*BEIRUT;CAT;BRN TABBY;8;
DAISY;CAT;WHITE;8;
DUKE;DOG;BR BRINDLE;13;
*PUGSY;DOG;RED;1;
BELLA;DOG;BLUE;12;
*BABE RUTH;CAT;GRAY;0;
*LULU HURST;CAT;GRAY;0;
BENTLEY;DOG;BROWN;7;
SKY;DOG;GRAY;3;
*CHARLOTTE;DOG;GRAY;2;
*TABITHA;CAT;GRAY TABBY;1;
*GANDALF;CAT;GRAY;11;
CANDY;DOG;GRAY;2;
*HOPSCOTCH;DOG;BLACK;1;
COOKIE;DOG;WHITE;10;
HOBO;DOG;TAN;1;
MEATBALL;DOG;BLACK;17;
*MAGGIE;DOG;BLACK;4;
*HOLLY;CAT;GRAY;1;
LADY;BIRD;WHITE;4;
*FRAN FINE;CAT;BLACK;0;
*SPARKLETTS;CAT;WHITE;3;
*CHANCE;CAT;GRAY TABBY;0;
*DASANI;CAT;GRAY TABBY;3;
*ARROWHEAD;CAT;WHITE;3;
*MENUDO;CAT;GRAY TABBY;0;
*EVIAN;CAT;LYNX PT;3;
*THING 2;GUINEA PIG;BLACK;1;
ELLIOT;DOG;TAN;10;
*GULLIVER;CAT;ORG TABBY;7;
KLAUS;CAT;BRN TABBY;5;
*LILY;CAT;CALICO;3;
A644206 *TOOTIE;CAT;TORTIE;4;
*FRANKIE;CAT;GRAY TABBY;1;
*MISO;DOG;TAN;1;
*GEORGE;DOG;CHOCOLATE;1;
BELLE;DOG;WHITE;7;
*WRIGLEY;CAT;BRN TABBY;1;
*SWEETHEART;DOG;GRAY;5;
BUDDY;CAT;BLACK;9;
*DUFFY;CAT;ORG TABBY;1;
*LYLE;CAT;BLACK;1;
*GADGET;DOG;WHITE;2;
*CATRINA;CAT;BRN TABBY;3;
CHIP;DOG;WHITE;6;
ROXY;CAT;BLUE;9;
MOCHI;CAT;CALICO;4;
*CURLY FRY;CAT;ORG TABBY;4;
*SNOWY;CAT;LYNX PT;5;
KIYA;DOG;WHITE;2;
JOE;DOG;WHITE;10;
THOR;DOG;BROWN;8;
BEAR;DOG;TAN;14;
BAILEY;DOG;WHITE;6;
*INSTAHAM FAMOUS;GUINEA PIG;BLACK;1;
*ASH;CAT;GRAY;0;
*OZZIE;CAT;BLACK;0;
*MAMMOTH;DOG;GRAY;10;
*CRYSTAL;DOG;BLUE;1;
*ROLAND;DOG;TAN;3;
*JEMMY;DOG;TAN;9;
A628882*TIANA;CAT;BLACK;6;
PEPPA THE PIG;GUINEA PIG;WHITE;1;
*BADGER;GUINEA PIG;BLACK;1;
*;CAT;GRAY;4;
OZZIE;CAT;ORANGE;7;
*ALEX TREBEK;CAT;BRN TABBY;6;
HAPPY;DOG;BROWN;16;
CALLIE;CAT;BLACK;9;
*MALIBU;CAT;TORTIE;4;
COOKIE;CAT;SEAL PT;7;
GABBY;CAT;GRAY;19;
*FEENY;CAT;SEAL PT;8;
*ICHABOD;CAT;BLACK;6;
*PIP;DOG;BROWN;15;
*LUMIERE;CAT;CREAM;2;
*WALTER;DOG;BROWN;12;
BUTTONS;CAT;BRN TABBY;3;
*COGSWORTH;CAT;GRAY;2;
MUFFIN;CAT;ORANGE;5;
RAINBOW;DOG;BLACK;3;
LEGEND;DOG;BLUE;7;
PHORTOS;DOG;BLACK;8;
BEAR MAGEE;DOG;BROWN;16;
*BOGART;DOG;TAN;9;
ERIS;DOG;TAN;6;
*MAL;CAT;BLACK;2;
*PITCHFORK;CAT;CALICO;2;
*KEVIN LAW;CAT;ORANGE;0;
SOPHIA;RABBIT;GRAY;3;
*BOOTSIE;CAT;BLACK;3;
*MISS THANG;CAT;BLACK;11;
J.J.;DOG;CREAM;16;
*PEANUT;CAT;ORANGE;0;
NUGGET;DOG;TAN;10;
NEMO;DOG;TAN;9;
A630153*PEPPER;CAT;BRN TABBY;8;
*HIPPOPOTAMUS;DOG;GRAY;3;
*BRIAN;CAT;LYNX PT;1;
*STUART;CAT;SEAL PT;1;
BLACK CHARLIE;RABBIT;BLACK;5;
*MAUI;CAT;WHITE;2;
GREY F;CAT;BRN TABBY;2;
*SWISS ROLL;CAT;BLACK;6;
*HEIDI;DOG;TAN;3;
LIZ;DOG;WHITE;11;
*CHEDDAR;DOG;TAN;1;
*SMAUG;CAT;BRN TABBY;2;
*EVANGELINE;CAT;CALICO DIL;11;
BUBBA;DOG;TAN;4;
LOLA;DOG;GOLD;10;
*SINORA;RABBIT;BROWN;1;
RAIDER;DOG;BLUE;13;
*BOOTS*;CAT;BRN TABBY;2;
*PAULINA;DOG;BLACK;8;
*OJO;CAT;WHITE;1;
*WANDA;CAT;BLACK;1;
*SKEETER;DOG;BROWN;1;
*SAVVY;GUINEA PIG;WHITE;1;
*KARISA;CAT;GRAY TABBY;0;
BABY;DOG;BROWN;4;
*GERTRUDE;RABBIT;BROWN;1;
*MINDY;CAT;BRN TABBY;3;
DEXTER;DOG;WHITE;8;
*MARLEY;DOG;TRICOLOR;4;
*NACHO;CAT;ORANGE;1;
*MUFFIN;DOG;WHITE;4;
*SAMSON;CAT;GRAY;15;
BETSIE;DOG;BLACK;11;
AUGUST;CAT;WHITE;6;
*LILY;CAT;BLACK;0;
*JELLY;CAT;GRAY TABBY;0;
KRYPTO;DOG;TRICOLOR;12;
HERCULES;DOG;BROWN;4;
ROSIE;DOG;WHITE;14;
*SUNDANCE;DOG;WHITE;7;
SHEEBA;DOG;BLUE;1;
*RENAGADE;CAT;BLACK;6;
*MORRIS;CAT;LC LYNX PT;7;
*XYLER;CAT;GRAY TABBY;1;
*ALASTORA;REPTILE;GREEN;12;
CLOUD;DOG;WHITE;3;
*LUCY;DOG;BLACK;4;
JACKPOT;CAT;BLACK;10;
*COBY;DOG;BLACK;4;
*MIRACLE;CAT;BRN TABBY;5;
SNOWBALL;DOG;WHITE;10;
*LETI;CAT;CALICO;3;
*LITTLE DOT;CAT;BLACK;1;
SCOTCH;DOG;TAN;9;
*BILLIE;CAT;BLACK;2;
LOLA;CAT;ORG TABBY;1;
JABBA;RABBIT;PINK;4;
*FROSTING;DOG;WHITE;8;
*HERO;CAT;BRN TABBY;9;
MAXX;DOG;WHITE;3;
*STEVIE;CAT;BLACK;1;
*MELISENDE;CAT;TORTIE;6;
DELILAH;DOG;TAN;3;
BLACKIE;DOG;BL BRINDLE;12;
*JESSE JAMES;CAT;GRAY;2;
DAISY;DOG;BR BRINDLE;12;
*;DOG;BLACK;12;
*SABRINA;CAT;WHITE;5;
SANDWHICH;CAT;ORANGE;0;
*BELL PEPPER;CAT;BLACK;5;
*DARLA;DOG;GOLD;1;
SARGE;DOG;BROWN;9;
ALLIE;DOG;TAN;14;
*SHIA LAFLOOF;DOG;BLACK;4;
BUDDY;DOG;WHITE;4;
*JAMIROQUAI;CAT;ORG TABBY;18;
MILEY;DOG;BLACK;6;
SOCKS;CAT;BLACK;12;
PAISLEY;DOG;WHITE;5;
NOSEY;DOG;TRICOLOR;11;
*SHADOW;DOG;BLACK;7;
RAMBO;DOG;BLACK;2;
*CONSTANTINE;CAT;GRAY;6;
*BRAMBLE;DOG;BLACK;3;
*;CAT;GRAY;2;
BABALOYN;DOG;BLACK;0;
*DOOEY;CAT;SEAL PT;7;
KITTEN 5;CAT;CREAM;0;
A576847*ARCADIA QUEEN;CAT;BRN TABBY;9;
KITTEN 2;CAT;BLACK;0;
BELLA;CAT;BLACK;3;
MATEO;CAT;BRN TABBY;6;
ABBY;DOG;GRAY;13;
*LIONEL;CAT;GRAY TABBY;3;
*LUCIA;CAT;GRAY TABBY;3;
*LANCE;CAT;GRAY TABBY;3;
*MOIRTICIA;CAT;GRAY TABBY;1;
*NELLIE;CAT;GRAY TABBY;0;
BUSTER;DOG;BR BRINDLE;11;
MILO;DOG;WHITE;7;
MANDY;DOG;TAN;2;
CHEX;CAT;BLACK;10;
JR;CAT;BLACK;10;
BAMBI;DOG;BROWN;8;
MINK;CAT;BLACK;1;
*MIMOSA;CAT;BLACK;1;
ZORICH;DOG;BROWN;12;
LUNA;DOG;BLACK;2;
*CLAIR DE LUN;DOG;TAN;4;
*CUTIE PIE;DOG;TAN;11;
*LUCY;CAT;WHITE;4;
*PENNY;DOG;TAN;5;
OREO;CAT;BLACK;2;
*JILL;CAT;BLACK;1;
CHA CHA;CAT;WHITE;3;
*SEA SHANTY;CAT;CALICO;0;
*WESTLEY;CAT;BRN TABBY;4;
*LUCY;CAT;CALICO;10;
*BETSIE;CAT;GRAY TABBY;4;
LUCY;CAT;GRAY TABBY;2;
*CHARITY;CAT;GRAY TABBY;4;
*HONEYCRISP;CAT;CALICO;0;
*COCA COLA;CAT;BRN TABBY;3;
*PINK LADY;CAT;GRAY TABBY;0;
*AUTUMN;DOG;BROWN;3;
GOLIATH;DOG;WHITE;2;
BAMBI;DOG;BROWN;16;
HEART;DOG;BLACK;3;
ROSIE;DOG;WHITE;2;
ZYANNA;DOG;BLACK;9;
JAX;DOG;BLUE;9;
*GUINIVERE;DOG;RED;3;
*SANCHO;CAT;GRAY;6;
*OTTER;DOG;BLACK;3;
*SAKURA;CAT;BLACK;13;
*TWITCH;DOG;BROWN;8;
*LITTLE PRINCE;CAT;ORANGE;4;
*ELVIRA;CAT;GRAY TABBY;2;
A639198;CAT;BRN TABBY;5;
*NEKESA;CAT;GRAY TABBY;1;
*BEN;DOG;BROWN;6;
*SALINAS KITTEN 4;CAT;GRAY;0;
DONUT;CAT;GRAY TABBY;9;
*JACK JACK;CAT;BLACK;3;
CAMILA;DOG;BLACK;2;
*FROGGY;DOG;BLACK;13;
CAILLOU;CAT;ORANGE;9;
*MILTON;CAT;BLACK;1;
*MONTY;CAT;ORANGE;1;
RAINBOW;CAT;WHITE;5;
BOO BOO;DOG;TAN;14;
KITTY;CAT;GRAY;9;
TYSON;DOG;TAN;11;
*THE DELIVERATOR;CAT;SEAL PT;11;
*LILY MUNSTER;CAT;BLACK;1;
*DONALD;CAT;BRN TABBY;7;
*WASABI;CAT;BLACK;5;
*REICHSTAG;CAT;BLACK;7;
*ARINA;CAT;CALICO;7;
*HITCHCOCK;CAT;BRN TABBY;11;
*JOHNNY CAGE;CAT;ORG TABBY;0;
*NEERA;CAT;ORANGE;2;
SHEBA;DOG;TRICOLOR;16;
*ELTON;CAT;GRAY TABBY;5;
MERLIN;CAT;BLACK;10;
TRACY AKA MOCHI;DOG;BLACK;5;
*TADAAKI;CAT;GRAY TABBY;2;
*BAXTER;CAT;BRN TABBY;7;
*NORTON;CAT;ORANGE;6;
*RIVIAN;CAT;S-T PT;1;
*LATTE;DOG;TAN;2;
CLEO;CAT;BRN TABBY;3;
BRUCE;DOG;GRAY;18;
*AMY;CAT;BLACK;5;
*KEALOHA;CAT;BRN TABBY;6;
MAX;DOG;APRICOT;10;
SPADE;DOG;BLUE;8;
*BONNIE;DOG;BLACK;8;
*TINKERBELL;DOG;WHITE;10;
ZAPATA;DOG;WHITE;9;
*SOCRATES;DOG;TAN;4;
*SNUGGLES;CAT;BLACK;1;
*ODIE;DOG;TAN;7;
MOCHI;CAT;BLACK;3;
*HANNAH;DOG;TAN;4;
GAMBIT;DOG;BLACK;6;
NEWTON;DOG;BROWN;2;
*BOB ROSS;DOG;BROWN;0;
SPIKE;DOG;WHITE;7;
*MICKEY;DOG;WHITE;10;
*FIONA;REPTILE;GREEN;7;
JACOB;CAT;TAN;8;
*NEMO;CAT;ORG TABBY;4;
BELLA;CAT;BLACK;16;
ATHENA;DOG;WHITE;6;
MADISON;CAT;GRAY;21;
*DYLAN;CAT;BRN TABBY;3;
*SIMON;CAT;SEAL PT;3;
A653896*KINGSTON;CAT;BLACK;3;
*LESLIE KAY;CAT;SEAL PT;3;
*OLLIVANDER;CAT;SNOWSHOE;1;
*WYVERN;CAT;GRAY;7;
*NICHOLAS;CAT;GRAY;5;
RAY RAY;DOG;WHITE;17;
TEX;DOG;BLACK;7;
STRAY 1;CAT;GRAY;0;
LUCY;DOG;BLACK;3;
*LEEROY;DOG;TAN;1;
*JADE;DOG;BLACK;6;
JORDAN;CAT;BLACK;2;
*BARNEY;CAT;BLACK;2;
*TIFFANY;CAT;WHITE;2;
*TINY TOM;CAT;BLACK;1;
*SKIPPY;DOG;BROWN;2;
*NUBBY;CAT;BLACK;3;
LOLA;DOG;BLACK;7;
PRINCE;DOG;BROWN;10;
ROMEO;DOG;TAN;5;
*ALVIN;CAT;ORG TABBY;4;
*FANDANGO;CAT;BLACK;8;
*KYLE;CAT;GRAY;4;
*DELILAH;CAT;GRAY;2;
*MERCEDES;CAT;CALICO;1;
RILEY;DOG;BLACK;9;
LUCY;DOG;GRAY;2;
CHANCE;DOG;TRICOLOR;9;
ROSIE;REPTILE;BLACK;7;
GOLDIE;CAT;ORG TABBY;9;
RYAN;REPTILE;BLACK;7;
*DIESEL;DOG;BLACK;3;
*AVERY;CAT;BLACK;2;
*ARLIE;CAT;BLACK;2;
*ROCKY;CAT;BRN TABBY;1;
RAY OF SUNSHINE;DOG;BLACK;11;
QUEENY;DOG;BLACK;5;
MAX;DOG;BLACK;5;
*CHARLIE BROWN;DOG;BLACK;1;
CLEO;DOG;BROWN;4;
*CHIMMY;CAT;CALICO;0;
*BILLABONG;DOG;UNKNOWN;1;
MERLIN;CAT;BLACK;10;
SMOKEY;DOG;BLACK;13;
SARA;DOG;BLACK;4;
*SCARLETT;DOG;RED;2;
*CAFE AU LAIT;GUINEA PIG;BLACK;2;
*MANNY HEFFLEY;DOG;WHITE;1;
LUCY;DOG;GRAY;2;
*ROSANNE;CAT;CALICO TAB;0;
A633113*LIGHTNING;CAT;WHITE;6;
MURRAY;DOG;TAN;11;
TUN TUN;DOG;TRICOLOR;7;
DESI;DOG;BLACK;8;
*MONTY;CAT;BLACK;6;
*FELICITY;DOG;WHITE;7;
CAESAR;REPTILE;GREEN;23;
*LILAC;CAT;LI LYNX PT;5;
DAISY;DOG;BL BRINDLE;8;
*BACCHUS;CAT;BLACK;0;
*IRIS;CAT;WHITE;0;
*MIRA;CAT;TORTIE;0;
*DODGER;CAT;FLAME PT;8;
LEROY;DOG;WHITE;7;
*E.B.;RABBIT;BLACK;3;
*BARNEY;DOG;BROWN;4;
CECE;DOG;BUFF;10;
MUFFIN;DOG;TRICOLOR;13;
*FOGGIE;CAT;CALICO;7;
MASON;DOG;BROWN;7;
LUKE;DOG;BROWN;7;
*TURBO;DOG;TAN;9;
ISAAC;DOG;BLACK;6;
*DUMPLING;CAT;WHITE;0;
DASH;DOG;BLACK;7;
A654154*KANG;CAT;BLACK;4;
CHAMP;DOG;BROWN;4;
SKY (*KACEY);CAT;CHOC PT;3;
A654157*KINSLEY;CAT;BLACK;3;
A654156*KEYLIME;CAT;BLACK;5;
*KEVIN;CAT;SNOWSHOE;3;
*KAI;CAT;BLUE;4;
*SHARPIE;CAT;BLACK;4;
BABY 1;CAT;BLACK;3;
*GALILEO;DOG;TAN;9;
FREDERICA;CAT;BLACK;4;
*COCO;CAT;GRAY TABBY;1;
LUPO;DOG;BROWN;11;
FIVO;DOG;BROWN;8;
HARLEY;DOG;YELLOW;9;
BUDDY;DOG;BROWN;7;
*LOX;CAT;BLACK;0;
*MEAH;CAT;BLACK;0;
*NORMAN;DOG;BLACK;3;
TOYA;CAT;GRAY;1;
HOOKER;DOG;BROWN;3;
BAIILEY;CAT;WHITE;12;
*LINUS;DOG;WHITE;2;
RAYLAN;CAT;GRAY;11;
LOGAN;DOG;BLACK;1;
*TETE DE MOINE;CAT;BLACK;9;
*TARA;DOG;WHITE;8;
*MORNING GLORY;DOG;TAN;11;
*JOY;CAT;BLACK;2;
JACKIE;CAT;TORTIE;6;
JULIET;CAT;BLACK;6;
*BAJA BLAST;CAT;BLACK;0;
BOBBIE;DOG;BLACK;8;
BELLA;DOG;BROWN;7;
BITTY;DOG;TAN;3;
*JANUARY;CAT;TORTIE;7;
*GRAYLIE;CAT;GRAY;6;
CINNAMON;BIRD;BROWN;5;
*KEVIN;CAT;GRAY TABBY;5;
SAMPSON;CAT;BLACK;5;
KIMBER;CAT;GRAY;7;
FAITH;DOG;BLONDE;10;
KOOZA;CAT;BLACK;13;
LUCKY;DOG;BLACK;13;
CHARLIE;DOG;BLACK;7;
*BABY YODA;CAT;BRN TABBY;4;
*COPPER LOVE;CAT;TORTIE;9;
*JUNIPER;DOG;GRAY;7;
*WASHINGTON;DOG;BLUE;4;
SHADOW;DOG;TRICOLOR;18;
*DARLING;DOG;WHITE;1;
WILLIE;CAT;WHITE;5;
HUNTER;DOG;RED;7;
*DON JUAN;CAT;BRN TABBY;3;
*LINK;CAT;GRAY;10;
BELLA;DOG;CREAM;6;
HAZEL;DOG;BROWN;2;
CHARLIE THE CHUG;DOG;TAN;7;
*DASHER;DOG;BLACK;6;
BELLA;DOG;WHITE;8;
TONYA;DOG;BLACK;2;
KIKI;DOG;GRAY;2;
ARIES;CAT;ORG TABBY;7;
*ALICE;CAT;BRN TABBY;9;
*MEOWGARET;CAT;BLACK;2;
*MARY ANN;DOG;WHITE;6;
*GILLIGAN;DOG;WHITE;4;
*HEATHER;RABBIT;GRAY;3;
WEDNESDAY;DOG;BLACK;9;
*KRAMER;CAT;ORG TABBY;1;
*ELAINE;CAT;ORG TABBY;1;
*GRAHAMCRAKER;CAT;GRAY;9;
BODIE;CAT;BRN TABBY;5;
*LIAM;DOG;BROWN;5;
BUTTONS;DOG;CREAM;8;
*ELEGANCE;CAT;BLACK;6;
*BISCUITS;RABBIT;BLONDE;3;
*GRAVY;RABBIT;BLONDE;3;
*DEAN;DOG;BLACK;7;
JASPER;DOG;WHITE;16;
GLENN KOKO;DOG;GOLD;3;
JAMES;DOG;TAN;13;
UDO;DOG;WHITE;16;
*CONRAD;CAT;ORANGE;0;
MINNIE;DOG;BLACK;1;
ZEUS;DOG;BR BRINDLE;12;
*SAM;DOG;WHITE;5;
*MANCRUSH;CAT;ORANGE;9;
*BETTY B;CAT;ORG TABBY;2;
*CRAIG;DOG;BROWN;1;
BLUE;DOG;BLACK;10;
BRUTUS;DOG;BLACK;12;
ROSALIE;DOG;BROWN;14;
MARILYN (MAY);DOG;TRICOLOR;12;
COFFEE;DOG;BROWN;16;
MAYHEM;DOG;BLACK;12;
*ADDIE;DOG;BLACK;4;
*POLLY POCKET;DOG;BROWN;3;
*YOGA;CAT;BLACK;5;
MILO;CAT;GRAY TIGER;5;
*BEYONCE;RABBIT;BLACK;1;
*ANDREW;RABBIT;APRICOT;1;
*DOODLE;CAT;BRN TABBY;0;
DUKE;DOG;BLACK;11;
*TABBY;CAT;GRAY TABBY;0;
*RANGER;CAT;BLACK;6;
*LLAMA;CAT;GRAY;4;
*MADONNA;CAT;CALICO;9;
STELLA;DOG;GRAY;12;
DUECE;DOG;GRAY;3;
INDIE;CAT;BLACK;4;
CRYPTO;DOG;WHITE;2;
*BILLY;DOG;GRAY;1;
*DAHLIA;CAT;WHITE;2;
CHEVY;DOG;WHITE;11;
*KID;CAT;BLACK;1;
*SKIPPER;CAT;CREAM;7;
*RALPHIE;CAT;BLACK;1;
*HARLEY;CAT;CALICO TAB;3;
*PURRTATO AU GRATIN;CAT;CALICO;2;
*PONIO ORANGEFACE;GUINEA PIG;ORANGE;1;
*BRIXTON;GUINEA PIG;WHITE;6;
*PURRITO;CAT;WHITE;2;
*SPOT;DOG;WHITE;9;
A646459;CAT;BLACK;3;
*CLEMENTINE;CAT;ORG TABBY;3;
*ROBERT LAURO;CAT;BLACK;7;
*FELICITY;DOG;BROWN;4;
*TEXAS;CAT;BLACK;6;
PHISHY;CAT;BLACK;6;
INDIE;CAT;BLACK;4;
*ELEANOR;DOG;WHITE;15;
*LIBERTY;CAT;GRAY;9;
NOODLE;DOG;BLACK;5;
*LEATHER;CAT;ORG TABBY;8;
*STERLING COOPER;CAT;GRAY TABBY;7;
*SUGARLEE;CAT;GRAY TABBY;9;
*PALMER;CAT;BLACK;2;
*WAFFLES;CAT;GRAY;11;
*DAISY;CAT;CALICO;2;
*SCARLETT;DOG;BR BRINDLE;3;
A637696 *GOLDEN;CAT;WHITE;11;
KIRBY;DOG;WHITE;9;
LUCAS;DOG;BLACK;15;
DAISY;DOG;BROWN;5;
UKI;DOG;BLACK;5;
*APOLLO;CAT;BLACK;5;
CARI;CAT;GRAY TABBY;6;
ARI;CAT;GRAY TABBY;6;
STYX;CAT;GRAY;1;
TRACY;DOG;TRICOLOR;2;
*FENTON;DOG;TAN;7;
DAISY;DOG;TAN;7;
*MAGIC;CAT;BLACK;0;
HENRIETTA;BIRD;RED;3;
A650217*JETHRO;CAT;BLK TABBY;5;
*SNEEZY;DOG;BLACK;4;
CHICKEN 3;BIRD;RED;3;
*J.R.;CAT;BLACK;0;
MR. LUCKY;CAT;BLACK;4;
*LIAM;DOG;BROWN;5;
APOLLO;DOG;BLACK;3;
*JARED;CAT;BLACK;6;
MAXIMUS;DOG;BLACK;2;
MISTER;DOG;TAN;6;
*MARY KATE;DOG;BROWN;3;
SOPHIE;CAT;BROWN;16;
*JACK;CAT;ORG TABBY;3;
SPIKE;DOG;BLACK;6;
RASCAL #2;DOG;BLACK;9;
TOBY;DOG;TAN;10;
YUME;DOG;BLACK;3;
*PORTIA;CAT;CALICO;5;
PONGO;DOG;BLACK;2;
*FUNG PING;CAT;BLACK;5;
SHASTA;DOG;WHITE;9;
MOCHA;DOG;BROWN;8;
LAO;CAT;CALICO;12;
SMORES;DOG;TRICOLOR;7;
*TRAVELER;DOG;BLACK;8;
*MIATA;DOG;WHITE;2;
KAYLAH 1;CAT;BRN TABBY;2;
SKY;DOG;BLACK;8;
MAX;DOG;BLACK;6;
LOBO;DOG;BROWN;9;
BLANCA;DOG;WHITE;0;
MARSHMELLOW;OTHER;WHITE;3;
DELILAH;DOG;BLUE MERLE;14;
HOBIE;DOG;TAN;5;
BUDDY;DOG;BROWN;7;
YOGI;CAT;SLVR TABBY;9;
*KISSES;CAT;BROWN;4;
A649618 *PEACH;CAT;BRN TABBY;4;
ZIA;CAT;WHITE;6;
SOLOMON;DOG;WHITE;11;
JAX;DOG;SILVER;2;
WEDNESDAY;DOG;BLACK;1;
NELSON;DOG;GRAY;14;
*PICO RIVERA;CAT;BRN TABBY;10;
RENO;DOG;BR BRINDLE;6;
*OLIVIA;CAT;TORTIE;8;
ROCKY;DOG;TAN;13;
*BUTTON;DOG;WHITE;8;
MALTY;RABBIT;GRAY;5;
RILEY;DOG;CREAM;3;
JACK;BIRD;Y BRINDLE;6;
BAILEY;DOG;TAN;7;
*FERRAH;CAT;GRAY TABBY;7;
SWEETIE;CAT;ORANGE;5;
*JEPSEN;CAT;GRAY;0;
*JASPER;DOG;BROWN;6;
*RAE;CAT;CALICO;0;
SCOOBY;DOG;BLACK;3;
ZUCA;CAT;ORANGE;5;
*MING;RABBIT;BROWN;6;
SADIE;DOG;WHITE;7;
CHASE;DOG;BROWN;3;
*KING SCHNOODLE-DOODLE;CAT;ORANGE;10;
*SMOKEY;CAT;BLACK;4;
SMUDGE;CAT;BLACK;8;
*SUNNY;DOG;BROWN;6;
*ELIZABETH;DOG;WHITE;8;
RONIN;DOG;BLACK;7;
*BAGEL;DOG;WHITE;0;
A628139*SADIE;CAT;BRN TABBY;6;
BOY;DOG;TAN;10;
CANICA;DOG;BROWN;15;
*JULIANNE;CAT;BRN TABBY;4;
*FROSTING;DOG;WHITE;8;
JADE;CAT;BRN TABBY;15;
*ALBIE;CAT;WHITE;6;
AMELIA POND;CAT;SEAL PT;7;
NEWT;DOG;WHITE;3;
*LELAND;CAT;BLACK;2;
*PETE;DOG;BROWN;9;
CHUCHO;DOG;WHITE;9;
*ADAM;DOG;WHITE;0;
JUNIOR;DOG;WHITE;15;
*MARIE;CAT;GRAY TABBY;4;
*DELILAH;DOG;BR BRINDLE;1;
SIR ARCHIBALD;DOG;BLACK;10;
CHARLIE THE CHUG;DOG;TAN;7;
*CUPCAKE;CAT;GRAY;1;
*ANDRE;CAT;GRAY;4;
*ALFREDO;CAT;WHITE;1;
*ELEANOR;CAT;GRAY;1;
TOONCESS;DOG;BROWN;4;
*REY SKYWALKER;RABBIT;WHITE;4;
*FIG;CAT;BLACK;5;
MENDEL;CAT;ORG TABBY;16;
*DUNCAN;DOG;TAN;13;
*PERRY;DOG;GRAY;10;
NIPSY;DOG;TAN;7;
*WAFFLES;DOG;TAN;9;
ZOEY;DOG;BROWN;8;
*ATTICUS;CAT;BRN TABBY;2;
JACK;DOG;WHITE;13;
*SHIRO;DOG;WHITE;3;
*MILO;DOG;GRAY;6;
*CALLIE;CAT;TORTIE;5;
TUT;CAT;GRAY;5;
*TUCKER;DOG;BR BRINDLE;4;
*FRANK;DOG;BROWN;2;
A634383;CAT;BRN TABBY;5;
PUPPY2;DOG;BROWN;0;
FRIJOLITO;DOG;BROWN;12;
SHADOW;DOG;BLACK;5;
MISTY;CAT;GRAY;11;
MISSY;DOG;WHITE;8;
*PARROT;CAT;BRN TABBY;1;
*FINN;DOG;TAN;3;
HUNNER;DOG;BROWN;7;
ZEUZ;DOG;TAN;7;
*COOKIE;CAT;GRAY TABBY;1;
*WILLOW;DOG;WHITE;11;
*MORTY;CAT;BRN TABBY;6;
LEFTY;DOG;BROWN;8;
*SINGLETON;CAT;ORANGE;1;
*CORNFLAKE;DOG;TAN;6;
OLIVE;CAT;TORTIE;5;
STELLA;DOG;TRICOLOR;17;
*BUNBUN;RABBIT;BLACK;7;
*ANTONIO;DOG;BLACK;2;
*BELLA;DOG;TAN;3;
*BUNNY HOPS;DOG;WHITE;4;
*EENY;CAT;BRN TABBY;0;
*JUBILEE;DOG;BLACK;0;
*;CAT;GRAY;2;
SORRY;CAT;FLAME PT;5;
ZEUS;DOG;RED;3;
*FRANCOIS;DOG;FAWN;1;
*JUNO;DOG;WHITE;11;
*NORMAN;CAT;BLACK;0;
*TODD;CAT;BRN TABBY;5;
BEBE;DOG;BLACK;16;
SHIMA;CAT;GRAY TABBY;0;
LEVI;CAT;CHOC PT;4;
FRANKIE OR JOHNIE;BIRD;BLUE;2;
*ARROW;CAT;WHITE;9;
MOCHA;DOG;BLACK;5;
CHARLIE;DOG;BLACK;16;
*TOOTSIE;DOG;BROWN;10;
*MISCHA;CAT;BRN TABBY;4;
*EL NINO;CAT;ORANGE;0;
*KEY LIME;CAT;BLACK;2;
*PHILIPPE;CAT;BLACK;0;
*IZZY;DOG;BLACK;3;
*MOMMA CAT;CAT;GRAY;2;
*TUNA;DOG;BLACK;2;
A636620*DANCER;CAT;BLACK;7;
*PURRSEIDON;CAT;GRAY TABBY;2;
ECHO;CAT;BRN TABBY;2;
KIMMY;CAT;GRAY TABBY;3;
*VIC;OTHER;WHEAT;1;
*RICK;OTHER;WHEAT;1;
*FRANCINE;OTHER;BROWN;1;
*WILLIAM SHATNER;DOG;UNKNOWN;2;
PLUTO;DOG;WHITE;2;
*BIXBY;DOG;BROWN;1;
TEDDY;DOG;UNKNOWN;3;
TOMMY;DOG;WHITE;12;
